chr,start,end,log2(old/young),gene_chr,gene_start,gene_end,gene_id,gene_strand,gene_name,gene_type,2mo,9mo,18mo
chrX,50612158,50612659,3.405276869263211,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.285730756051438,1.85806615955543,3.17224009855643
chr12,113424839,113425340,2.439733656544352,chr12,113422645,113426722,ENSMUSG00000092683.1,-,Gm25747,miRNA,0.771473041338883,3.28584331374012,4.26093788385982
chr12,113424839,113425340,2.439733656544352,chr12,113422749,113426818,ENSMUSG00000092737.1,-,Gm24022,miRNA,0.771473041338883,3.28584331374012,4.26093788385982
chr12,113424839,113425340,2.439733656544352,chr12,113423150,113427227,ENSMUSG00000092748.1,-,Gm22175,miRNA,0.771473041338883,3.28584331374012,4.26093788385982
chr2,36928642,36929143,2.494402759736195,chr2,36925180,36930112,ENSMUSG00000075380.1,-,Olfr355,protein_coding,0.500028823090017,1.64292165687006,2.89068032649521
chrX,50572615,50573116,3.175795023140444,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.285730756051438,1.52557010995077,2.70297381178773
chr17,35438828,35439329,1.441009715078923,chr17,35437155,35445773,ENSMUSG00000060550.11,+,H2-Q7,protein_coding,3.24304408118382,7.84299505243922,8.85974749419311
chr18,73533217,73533718,1.5414496161999516,chr18,73531403,73535550,ENSMUSG00000065922.1,-,n-R5-8s1,rRNA,3.30019023239411,7.09976858861705,9.66688550743528
chrX,50611625,50612126,2.9857658934050595,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.257157680446294,0.997488148813966,2.13985426766529
chrX,50600207,50600708,2.87172059306588,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.37144998286687,1.68203883917649,2.81559772061222
chrX,50614835,50615336,2.3057411957122964,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.628607663313164,1.58424588341042,3.17224009855643
chr8,122460516,122461017,1.484607839857332,chr8,122452206,122462692,ENSMUSG00000006587.5,-,Snai3,protein_coding,1.74295761191377,4.63538610331196,4.91791068533601
chr8,122460516,122461017,1.484607839857332,chr8,119908841,124347722,ENSMUSG00000092329.1,+,Gm20388,protein_coding,1.74295761191377,4.63538610331196,4.91791068533601
