gene_name,2mo,9mo,18mo,gene_chrom,gene_start,gene_end,strand,gene_type
0610005C13Rik,13.7317031726372,18.00485988202515,17.8924019107074,chr7,45565795,45577327,-,processed_transcript
0610007P14Rik,25.63582230535044,26.008205686134193,26.549334919544666,chr12,85813448,85826550,-,protein_coding
0610009B22Rik,60.2389075570169,66.7471213409516,65.9828876457311,chr11,51683386,51690874,-,protein_coding
0610009E02Rik,17.58390280857188,19.03299750421549,19.333775669958822,chr2,26443696,26461390,+,processed_transcript
0610009L18Rik,13.467649858889255,15.79134006013303,14.633481912399963,chr11,120346678,120353190,+,protein_coding
0610009O20Rik,15.694261585628478,15.861424181784047,16.57393599139215,chr18,38248249,38264629,+,protein_coding
0610010F05Rik,24.770124602228602,22.085392244143886,23.215925321275893,chr11,23562961,23635639,-,protein_coding
0610010K14Rik,18.653354929274403,21.72014842910971,20.515677322678325,chr11,70233206,70239914,-,protein_coding
0610011F06Rik,5.697538925444764,5.936397850847517,5.782048281441475,chr17,25873464,25888007,+,protein_coding
0610012D04Rik,0.592646097836109,0.7293017735260141,0.729998079620868,chr17,87360239,87366462,-,antisense
0610012G03Rik,25.46206219289585,26.781384151725998,26.22220142638125,chr16,31946024,31950448,-,pseudogene
0610025J13Rik,10.81656700029675,10.704727007511096,11.385735354086695,chr4,98319398,98333791,+,antisense
0610030E20Rik,12.432122331570737,13.541295856737463,14.033840632711376,chr6,72345317,72355158,+,protein_coding
0610031O16Rik,0.853286266517958,0.469599190758214,0.592192319692439,chr3,138208716,138242405,-,antisense
0610037L13Rik,11.39990452067991,10.77350668696559,10.89782847434009,chr4,107887813,107901384,+,protein_coding
0610038B21Rik,1.7706982888227207,1.5012943825755027,1.2141804793694015,chr8,77515056,77525898,+,antisense
0610039K10Rik,39.4342369497336,44.0284817032095,43.4162633374513,chr2,163642850,163647801,+,antisense
0610040B10Rik,3.854371637340389,4.451231117247547,4.2257950058052876,chr5,143327247,143334704,+,antisense
0610040F04Rik,17.987274498198556,18.053480000260215,19.70125769643462,chr6,108575039,108662934,-,antisense
0610040J01Rik,3.677663808692401,3.274298145409783,3.423262678222092,chr5,63810495,63901619,+,protein_coding
0610043K17Rik,8.957954368863073,10.964937814511332,11.019140108562818,chr4,101351783,101401181,+,lincRNA
1010001B22Rik,6.53927566067852,5.869989884477695,6.134218556814146,chr5,109993511,109998398,-,lincRNA
1010001N08Rik,1.1315093037219943,0.9285256726355587,0.970847786162449,chr18,11047087,11054567,-,lincRNA
1110001J03Rik,22.462838537564,22.05764320105362,22.89288875611035,chr6,38531502,38541449,+,protein_coding
1110002E22Rik,1.5117129783547232,0.685187910151757,0.5713352317032712,chr3,138063052,138083506,+,protein_coding
1110002J07Rik,7.280341854569591,7.001297025849738,7.039267196344093,chr10,66910489,66922258,-,lincRNA
1110002L01Rik,12.686261271555308,12.161297657633435,12.223211285080327,chr12,3401878,3429011,-,protein_coding
1110004E09Rik,14.03578336943266,13.724214228390148,13.850409992806654,chr16,90923809,90936927,-,protein_coding
1110004F10Rik,10.911514490316545,10.829953458379956,11.24941938615751,chr7,116091301,116107210,+,protein_coding
1110007C09Rik,9.514917586462971,10.25069218387082,10.126395554740755,chr13,49200951,49218026,-,protein_coding
1110008F13Rik,9.460174285727936,10.238685386379844,10.02736429193504,chr2,156861128,156875563,+,protein_coding
1110008L16Rik,4.62894871006196,4.646581218318859,4.587110948728749,chr12,55297577,55384533,+,protein_coding
1110008P14Rik,16.44670492973977,19.984647379426278,20.50140014935239,chr2,32375097,32383938,-,protein_coding
1110012L19Rik,9.407868945754364,8.127267812781366,8.977859035337245,chrX,70383877,70391417,+,protein_coding
1110015O18Rik,2.8029160997135363,0.7719926090494863,0.6455765329980477,chr3,4795558,4816911,+,lincRNA
1110017D15Rik,13.4875081574555,14.815142954496238,15.644305783874966,chr4,41503009,41519333,-,protein_coding
1110018N20Rik,2.8087081034620214,3.6550470347347654,3.4555725422053145,chr2,167186702,167194808,+,processed_transcript
1110019D14Rik,11.33629590808493,9.575198650952498,10.48813567455287,chr6,13869526,14046373,+,lincRNA
1110020A21Rik,39.647299944767155,39.87324037892469,40.296390592405,chr17,84952967,84959710,-,lincRNA
1110028F11Rik,1.1759836182192924,1.8819543326598103,1.6536691191411526,chr11,87699396,87707331,+,sense_intronic
1110032A03Rik,11.214767258005127,12.413546284992364,12.065452953733699,chr9,50760828,50777520,-,protein_coding
1110032F04Rik,3.7089509717980604,5.226069781998606,4.964731837421517,chr3,68867586,68874163,+,protein_coding
1110034G24Rik,3.7285083870526865,3.500325097504236,3.638478369019415,chr2,132684931,132753055,+,protein_coding
1110035H17Rik,12.175619308423496,16.266987119257053,16.654012311350602,chr7,29153680,29158920,+,antisense
1110036E04Rik,0.6309146940314604,0.851444997384843,0.916222079524152,chr9,64047829,64056100,+,lincRNA
1110037F02Rik,8.425641643407026,7.96658425129718,8.363526751211872,chr4,11483958,11552684,+,protein_coding
1110038B12Rik,8.26911963734675,9.479144271024696,8.759976955450405,chr17,34948238,34954471,-,processed_transcript
1110038F14Rik,9.111028753644474,9.43704636377239,8.943717968688313,chr15,76946539,76952729,+,protein_coding
1110046J04Rik,3.4669279580220596,3.904432665584393,4.051613491229088,chr13,33933567,33962181,+,antisense
1110051M20Rik,1.9805870946098971,1.783691806066988,1.704655966011222,chr2,91273068,91446704,-,protein_coding
1110054M08Rik,2.9559904844949405,4.365137932275213,4.47310047767685,chr16,24389612,24395588,-,lincRNA
1110057K04Rik,3.547602295947385,3.0547664530130234,3.4134859182271815,chr12,8206107,8287758,+,protein_coding
1110058L19Rik,12.104253547951089,12.53509658058005,13.402541273039265,chr1,23993939,24007656,-,protein_coding
1110059E24Rik,6.447244858260633,6.513767684171666,6.609909142167076,chr19,21579202,21654976,-,protein_coding
1110059G10Rik,9.888812114155375,10.078594753166836,9.443419035095449,chr9,122943089,122953000,-,protein_coding
1110065P20Rik,20.350101741665572,21.171096850016177,20.51443582934562,chr4,124847080,124853196,-,protein_coding
1190002F15Rik,6.145434181301281,6.42700364321252,6.278941208167541,chr6,134927092,134953718,+,lincRNA
1190002N15Rik,24.61453837908685,22.942766524240305,24.213908604567134,chr9,94515864,94540081,-,protein_coding
1190005I06Rik,10.76630068205094,12.629609347002857,12.559691449476992,chr8,120606602,120649632,-,protein_coding
1190007I07Rik,9.741943447675924,10.45569713362417,10.325500047970698,chr10,82617851,82625228,-,protein_coding
1200007C13Rik,0.5802346612322117,0.5514232921782057,0.5127367464003717,chr2,167825693,167835646,-,lincRNA
1200014J11Rik,8.67947276006313,9.845573942601193,10.07006279477001,chr11,73045783,73082217,+,protein_coding
1300002E11Rik,8.49459406898422,9.134652945481124,9.21684650187979,chr16,21792347,21811037,+,lincRNA
1300017J02Rik,3.496257364758649,4.09704964967245,3.978542740790846,chr9,103248521,103307082,-,protein_coding
1500002C15Rik,8.593368418623573,9.861583005922487,9.56167127503406,chr4,155730545,155736727,-,protein_coding
1500004A13Rik,2.6037125422209817,3.155564259110121,2.937869822474188,chr3,88780943,88834547,-,processed_transcript
1500009C09Rik,3.3766864710478828,3.7736919817937524,3.5550161581536677,chr15,82250397,82262753,+,protein_coding
1500009L16Rik,1.5708224451807875,1.7663333197837374,1.777508079076835,chr10,83720865,83764761,+,protein_coding
1500011B03Rik,13.056831307300225,14.88665010399806,14.32248783256145,chr5,114806196,114815976,-,protein_coding
1500011K16Rik,5.66426938010373,4.80805535083126,4.677946877570459,chr2,127789388,127794488,-,protein_coding
1500012F01Rik,26.29052558620602,30.2393418291274,31.23348926377855,chr2,167060934,167067862,+,protein_coding
1500015A07Rik,12.040127792164297,12.76693153460336,13.040645966560541,chr18,61724390,61737917,+,antisense
1500015L24Rik,5.129469442153668,5.368880791309285,5.41432978004516,chr19,20403288,20424787,+,lincRNA
1500015O10Rik,1.19460077312514,0.804010735692093,0.890150719537691,chr1,43728602,43744578,+,protein_coding
1500017E21Rik,1.0341386284604657,0.7785995240709782,0.8896186509665396,chr19,36612052,36707641,-,processed_transcript
1500026H17Rik,9.16894879112934,9.094333823042264,9.596743461682493,chr10,89684371,89702866,+,lincRNA
1500035N22Rik,0.8020890905268815,0.8004531660651355,0.8380079995647725,chr5,24983842,25000168,+,protein_coding
1520401A03Rik,1.967212701717767,2.2181446624071675,2.109917918904191,chr17,23702488,23724783,-,processed_transcript
1600002H07Rik,6.979881660116895,8.60576092760695,8.378217755648706,chr17,24213054,24222851,-,protein_coding
1600002K03Rik,6.28018692157217,7.7439396854768425,7.423819756144363,chr10,80170944,80177146,+,protein_coding
1600010M07Rik,20.416531135306872,20.075041989493016,21.016902039993745,chr7,109996376,110153202,-,lincRNA
1600012H06Rik,9.56766619202954,10.33236805322303,10.130585594738578,chr17,14941184,14961570,+,protein_coding
1600014C10Rik,6.231058318348402,6.895162865312204,6.8623543964359754,chr7,38181217,38199568,+,protein_coding
1600014C23Rik,8.923047203414617,10.101718955742035,9.012310475319367,chr17,45730864,45735844,-,protein_coding
1600020E01Rik,13.347121018980296,14.249647498015864,14.242825343713955,chr6,86524271,86566442,+,lincRNA
1600029I14Rik,0.8525105517302135,0.7061775709507989,0.6424727996663253,chr9,99454207,99476751,+,transcribed_unprocessed_pseudogene
1600029O15Rik,4.4417428746198455,4.51811342623433,4.596008317613014,chr9,58200897,58210808,+,transcribed_processed_pseudogene
1700001C02Rik,0.7870919379638374,0.7043987861373192,0.7784163195957218,chr5,30464047,30486088,+,protein_coding
1700001C19Rik,0.979262348047518,0.9975425233985098,0.9750688634935887,chr17,47410734,47439376,-,protein_coding
1700001D01Rik,2.965299061947862,1.6376678849421547,1.5617986125221988,chr8,61279522,61290872,-,lincRNA
1700001G11Rik,10.185445448988553,10.611518683284839,10.275840314663142,chr14,66293334,66299129,-,processed_transcript
1700001K19Rik,2.5350359263460787,2.635269701167781,2.3594580787745922,chr12,110665689,110684619,-,protein_coding
1700001L05Rik,1.8198268920464804,2.356889877858461,2.5624422386691683,chr15,83355526,83369282,-,lincRNA
1700001L19Rik,1.5291924182385455,1.313929048889144,1.2402518393558637,chr13,68595439,68616231,+,protein_coding
1700001O22Rik,5.0209432494683925,6.141551032668667,5.914474236928267,chr2,30792769,30805661,-,protein_coding
1700001P01Rik,2.11925280011551,1.7592181805298202,1.312879199318144,chr11,97769481,97777918,-,protein_coding
1700003D09Rik,10.581266848014494,12.422440209059763,12.049313540408747,chr11,98348718,98360283,-,processed_transcript
1700003E16Rik,4.286821549867623,4.889625340135042,4.541205254784337,chr6,83154404,83164975,+,protein_coding
1700003F12Rik,4.68842017712231,4.923676363707335,5.082052957360585,chr2,154545085,154552003,+,protein_coding
