gene_name,gene_length,gene_type,gene_chr
Meg3,30725.0,,
Tsix,53440.0,,
Slc17a7,12193.0,protein_coding,chr7
Ube3a,82786.0,,
C1ql3,8349.0,protein_coding,chr2
Rnf112,5689.0,,
Lmo4,16690.0,protein_coding,chr3
Mapt,100700.0,,
Olfm1,37744.0,,
Snrnp70,19289.0,,
Camkv,14017.0,,
Cdk9,7292.0,,
Nrg3os,60492.0,,
Pabpn1,5669.0,,
Cacna1a,301607.0,,
Grin1,28006.0,,
Cpt1c,15479.0,protein_coding,chr7
Ptprn,17475.0,,
Ptpru,69831.0,,
Igsf21,219938.0,,
Srcin1,66846.0,protein_coding,chr11
Celf4,276525.0,protein_coding,chr18
Elavl3,37018.0,,
Dgkz,43040.0,,
Csmd2,579799.0,protein_coding,chr4
Pacsin1,55973.0,protein_coding,chr17
Sulf1,168915.0,,
Grik5,62497.0,,
Xist,22888.0,,
Srrm3,67882.0,protein_coding,chr5
Slc8a2,31237.0,,
Atp1a3,27791.0,,
Il1rapl2,1276338.0,protein_coding,chrX
Tmem132a,12118.0,,
Snta1,31786.0,,
Sptbn4,91303.0,protein_coding,chr7
Fgfr2,2960899.0,protein_coding,chr7
Camk2a,62534.0,,
Dctn1,34197.0,,
Sorbs2os,95972.0,,
Thra,28368.0,,
Grin2b,460278.0,protein_coding,chr6
Celf5,23482.0,protein_coding,chr10
Dlg4,30580.0,,
Jph4,10109.0,,
AY036118,,,
Lztr1,17645.0,,
Il1rapl1,1374775.0,protein_coding,chrX
Sdk2,290672.0,protein_coding,chr11
Miat,16167.0,lincRNA,chr5
Arhgef25,7558.0,,
Ptprs,64057.0,protein_coding,chr17
Rasal1,30785.0,,
Baiap2,64019.0,,
Abr,206824.0,,
Exoc4,724894.0,protein_coding,chr6
Pde4a,47534.0,,
Nr3c2,345570.0,,
Cwh43,47360.0,,
Nav2,701374.0,protein_coding,chr7
Mbd5,375897.0,,
Kcnq2,59721.0,,
Cck,5870.0,,
Gabbr2,329568.0,protein_coding,chr4
Actn1,92824.0,,
Rundc3a,9152.0,,
Stx1a,27618.0,,
Stk25,38908.0,,
Pcsk2,270129.0,protein_coding,chr2
Dmd,2257271.0,,
Lmtk3,20406.0,,
Matk,10430.0,protein_coding,chr10
Arid4b,136371.0,,
Nisch,46016.0,,
Camkk2,48239.0,protein_coding,chr5
Rimbp2,195695.0,,
Tiam2,204771.0,,
Sv2a,14370.0,,
Rbfox3,421835.0,protein_coding,chr11
Mapk11,7142.0,,
Pou2f2,92382.0,,
Dach1,382912.0,,
Vps13b,560069.0,,
Csnk1g2,17911.0,,
Atp6v0b,3007.0,,
Ccser1,1202541.0,protein_coding,chr6
Fbxl17,442565.0,,
Gria1,318857.0,,
Shank1,50319.0,protein_coding,chr7
Stxbp1,59643.0,protein_coding,chr2
Sdk1,974096.0,,
Nptxr,18415.0,,
Gm28379,30750.0,,
Tom1l2,126191.0,,
Camta2,18642.0,,
Syt11,30464.0,,
Dnmt3a,108436.0,protein_coding,chr12
Ndrg4,38139.0,,
Rpl41,1191.0,,
Pde2a,91136.0,protein_coding,chr7
Adra1a,135917.0,,
Plekhg5,42902.0,,
Chst1,15543.0,protein_coding,chr2
Gnb2,5383.0,,
Stx1b,20649.0,,
Necab3,14491.0,,
Grid1,763271.0,protein_coding,chr14
Pitpnm2,131070.0,,
4930402H24Rik,200206.0,,
A930015D03Rik,43982.0,,
Rora,734460.0,protein_coding,chr9
Camk2b,96718.0,,
Gm15738,114381.0,antisense,chr16
Cox8a,2463.0,,
Nrxn2,125438.0,protein_coding,chr19
Cdh4,456942.0,,
Kifc2,8338.0,,
Cntn1,290802.0,,
Fbn2,201864.0,,
Gpr158,463005.0,,
Brinp2,111057.0,,
Traf7,19376.0,protein_coding,chr17
Zmynd8,114864.0,,
Odf2,42525.0,,
Bin1,58507.0,,
Sema6d,577801.0,protein_coding,chr2
Svop,64660.0,protein_coding,chr5
Lzts3,9964.0,,
Srsf5,5003.0,,
Crocc,43913.0,protein_coding,chr4
Tbc1d24,30131.0,,
Chd3,26133.0,,
Akap8l,29183.0,protein_coding,chr17
Nbas,314678.0,protein_coding,chr12
Sfpq,15689.0,,
Zswim8,16067.0,,
Rasgef1a,80108.0,protein_coding,chr6
Usp7,102713.0,,
Sgsm1,67566.0,protein_coding,chr5
Bmpr1b,332289.0,protein_coding,chr3
Ptms,6422.0,,
Atp2b2,298782.0,,
Tial1,21940.0,,
Akt3,238130.0,,
Immp2l,931498.0,protein_coding,chr12
Tmem132b,260809.0,protein_coding,chr5
Syt7,64090.0,,
Rrp1,12659.0,,
Celf3,13903.0,,
Gpi1,29006.0,,
Prkar1b,132695.0,protein_coding,chr5
Dlg1,211686.0,,
Nf1,241919.0,,
Cacna1d,451516.0,,
Tmem63b,26734.0,,
Slc6a7,18842.0,protein_coding,chr18
Plec,61600.0,protein_coding,chr15
Kpnb1,28167.0,,
Nrn1,9770.0,,
