2mo,9mo,18mo,gene_name,distance
0.34,0.32,0.03,Xkr4,118617
0.98,0.98,0.75,RP23-122M2.1,1310
0.74,1.0,0.87,Tcea1,5809
0.11,0.28,0.02,Rgs20,51519
0.0,0.0,0.2,RP23-76C20.2,1972
0.0,0.0,0.2,Fam150a,13597
0.98,0.95,0.77,St18,32354
0.92,0.97,0.73,St18,141300
0.68,0.89,0.81,St18,127302
0.49,0.43,0.22,St18,102004
1.0,0.89,0.67,Sntg1,50835
0.49,0.27,0.24,3110035E14Rik,12692
0.49,0.27,0.24,2610203C22Rik,21284
0.8,0.52,0.56,3110035E14Rik,14120
0.8,0.52,0.56,2610203C22Rik,19856
0.09,0.25,0.0,3110035E14Rik,9779
0.09,0.25,0.0,2610203C22Rik,13811
0.14,0.08,0.43,1700034P13Rik,18222
0.74,0.58,1.0,Sgk3,10959
0.76,0.9,1.0,Sgk3,43628
0.45,0.32,0.12,Sgk3,20384
0.75,0.94,0.96,Tcf24,5459
0.48,0.36,0.67,RP23-228G18.3,1625
0.48,0.36,0.67,Ppp1r42,315
0.48,0.36,0.67,Tcf24,2993
0.65,0.64,0.3,Arfgef1,16102
0.52,0.38,0.13,Prex2,88104
0.86,0.92,0.64,A830018L16Rik,36813
0.68,0.62,0.89,A830018L16Rik,105008
0.45,0.21,0.24,A830018L16Rik,167742
0.51,0.42,0.78,A830018L16Rik,186317
0.79,0.88,1.0,A830018L16Rik,246660
0.47,0.54,0.81,Sulf1,11370
0.65,0.63,0.91,Ncoa2,12207
0.92,0.91,0.69,Ncoa2,87556
1.0,0.87,0.78,RP23-70F22.2,1868
1.0,0.87,0.78,Lactb2,20021
0.13,0.23,0.46,Lactb2,12826
0.76,0.52,0.37,Eya1,41315
0.49,0.79,0.9,Eya1,7029
0.57,0.63,0.93,Eya1,7017
0.84,0.86,0.44,Eya1,5363
0.84,0.77,1.0,Trpa1,19102
0.17,0.07,0.4,Kcnb2,108776
0.69,0.18,0.72,Kcnb2,85278
0.24,0.1,0.03,Rdh10,5511
0.58,0.7,0.36,Stau2,29052
0.58,0.7,0.36,Gm7568,4134
0.72,0.45,0.44,Gm29649,1407
0.56,0.43,0.18,Crispld1,8042
0.56,0.43,0.18,Gm28153,20387
0.76,0.83,0.49,Pkhd1,134898
0.81,1.0,0.74,Pkhd1,139843
0.87,0.96,0.67,4930486I03Rik,8591
0.87,0.96,0.67,Pkhd1,234355
0.56,0.78,0.87,Pkhd1,2260
0.82,0.69,0.42,Efhc1,10765
0.67,0.72,0.9,Tram2,3871
0.08,0.06,0.33,Gm7094,1973
0.08,0.06,0.33,Gm28836,1217
0.37,0.28,0.62,Kcnq5,109350
0.65,0.81,0.37,Kcnq5,275598
0.77,0.72,0.94,Kcnq5,189502
0.76,0.7,0.4,Rims1,21055
0.24,0.6,0.48,Rims1,61632
0.72,0.79,1.0,Rims1,204121
0.51,0.23,0.67,Rims1,497
0.97,0.94,0.74,Ogfrl1,9170
0.57,0.62,0.97,Col19a1,135801
0.08,0.04,0.46,Gm28439,1101
0.08,0.04,0.46,Gm10222,1391
0.08,0.04,0.46,Gm28438,1810
0.08,0.04,0.46,Gm28437,2120
0.08,0.04,0.46,Gm10925,1335
0.08,0.04,0.46,Gm28661,424
0.78,0.64,0.51,Lmbrd1,9848
0.21,0.27,0.02,Bai3,21196
0.63,0.66,0.92,Bai3,125422
0.12,0.22,0.5,Bai3,365347
0.52,0.59,0.09,Bai3,356964
0.21,0.22,0.53,Bai3,204436
0.06,0.25,0.0,4931428L18Rik,5630
0.67,0.4,0.32,Khdrbs2,199505
0.71,0.79,0.53,Khdrbs2,128067
0.13,0.0,0.22,Khdrbs2,48495
0.46,0.21,0.16,Prim2,38459
0.77,0.8,0.98,Rab23,10695
0.62,0.69,0.44,RP23-32P22.2,851
0.62,0.69,0.44,Bend6,17550
0.3,0.3,0.6,Dst,3825
0.3,0.3,0.6,AC123072.1,3778
0.91,0.76,0.99,Dst,153046
0.91,0.76,0.99,AC123072.1,152999
0.24,0.17,0.52,Dst,154116
0.24,0.17,0.52,AC123072.1,154069
0.1,0.21,0.41,Dst,171117
0.1,0.21,0.41,AC123072.1,171070
0.54,0.75,0.34,Dst,188783
0.54,0.75,0.34,AC123072.1,188736
0.83,0.57,0.96,DST,5711
0.83,0.57,0.96,Gm26788,1121
0.83,0.57,0.96,Dst,131336
0.83,0.57,0.96,AC123072.1,130267
0.18,0.02,0.32,Dst,65682
0.18,0.02,0.32,AC123072.1,64613
0.87,0.67,1.0,Dst,64444
0.87,0.67,1.0,AC123072.1,63375
0.04,0.22,0.02,mmu-mir-5103,2658
0.04,0.22,0.02,Mir5103,1485
0.84,0.8,0.41,Prss40,306
0.16,0.11,0.42,Arhgef4,9092
0.98,1.0,0.76,Plekhb2,13898
0.7,0.41,0.42,Plekhb2,6671
0.04,0.23,0.43,Kansl3,1899
0.54,0.45,0.11,Cnnm4,14607
0.75,0.87,1.0,Tmem131,42923
0.72,0.59,0.49,Tmem131,73362
0.93,0.78,0.98,Vwa3b,78338
0.87,0.78,0.58,Inpp4a,39754
0.55,0.59,0.26,Inpp4a,34333
0.77,0.57,0.44,Inpp4a,25964
0.9,0.93,0.72,Inpp4a,21769
0.69,0.66,0.36,Mgat4a,30942
0.51,0.69,0.81,2010300C02Rik,43600
0.69,0.67,0.39,2010300C02Rik,42263
0.49,0.78,0.3,2010300C02Rik,39904
0.32,0.17,0.06,RP23-21P10.1,2284
