chr,start,end,log2(old/young),gene_chr,gene_start,gene_end,gene_id,gene_strand,gene_name,gene_type,2mo,9mo,18mo
chr9,36433087,36433588,2.400145664434875,chr9,36429884,36436938,ENSMUSG00000023093.7,+,Gm7257,protein_coding,1.13458165113825,4.95342354119783,6.03952913183423
chr17,13546492,13546993,1.0281611011702274,chr17,13480553,13763825,ENSMUSG00000038347.10,-,Tcte2,protein_coding,8.95058858120177,13.8928961437831,18.2958729864567
chr9,36259828,36260329,2.898778110138497,chr9,36253931,36260323,ENSMUSG00000066767.5,-,Gm3867,lincRNA,0.436377558130097,2.50584955613537,3.32115007053898
chr9,35687007,35687508,1.7789419475600168,chr9,35683079,35689390,ENSMUSG00000091215.3,-,Gm17252,protein_coding,1.28973811625118,4.20749623146451,4.45577785264483
chr9,35687007,35687508,1.7789419475600168,chr9,35568284,35692318,ENSMUSG00000074452.8,+,Pate2,protein_coding,1.28973811625118,4.20749623146451,4.45577785264483
chr7,15749286,15749787,6.149037324907889,chr7,15748131,15761800,ENSMUSG00000074366.5,+,Obox5,protein_coding,0.0193945581391154,0.722617081304154,2.05651285506684
chr2,37066185,37066686,4.675106136575477,chr2,37063746,37071260,ENSMUSG00000083361.2,+,Olfr360,protein_coding,0.1874428279623538,1.3793806200196406,4.689974744162874
chr13,3358606,3359107,2.387125373611452,chr13,3359029,3363533,ENSMUSG00000096107.1,+,Gm16505,protein_coding,0.572139465103905,1.35199324889164,3.03749312501252
chr2,37148084,37148585,4.010709168359916,chr2,37144214,37149137,ENSMUSG00000078198.1,+,Olfr364-ps1,protein_coding,0.20600509738731765,1.8753159958683325,2.942421067498639
chr2,37074051,37074552,4.429630102125987,chr2,37072022,37084455,ENSMUSG00000083431.1,-,Gm13437,processed_pseudogene,0.03566877368443502,1.284069974488484,4.122998231423353
chr9,36435315,36435816,2.350251681575456,chr9,36429884,36436938,ENSMUSG00000023093.7,+,Gm7257,protein_coding,0.446074837199655,1.81819781747497,2.31653172179943
chr9,35791058,35791559,2.119289981513837,chr9,35786050,35792112,ENSMUSG00000032108.3,-,D730048I06Rik,protein_coding,0.46546939533877,1.18882164988748,2.05651285506684
chr9,35791058,35791559,2.119289981513837,chr9,35774524,35792101,ENSMUSG00000098847.1,-,Gm27235,protein_coding,0.46546939533877,1.18882164988748,2.05651285506684
chr17,13547036,13547537,1.6047168086840784,chr17,13480553,13763825,ENSMUSG00000038347.10,-,Tcte2,protein_coding,1.34792179066852,2.93708878207495,4.12484474953062
chr1,88262584,88263085,0.3327981390238104,chr1,88224986,88264289,ENSMUSG00000079429.5,+,Mroh2a,protein_coding,10.1627484648965,11.6434591003685,12.8236577456754
chr1,88262584,88263085,0.3327981390238104,chr1,88260471,88279633,ENSMUSG00000044783.12,-,Hjurp,protein_coding,10.1627484648965,11.6434591003685,12.8236577456754
chr13,3360563,3361064,1.5403892335798823,chr13,3359029,3363533,ENSMUSG00000096107.1,+,Gm16505,protein_coding,1.28004083718162,2.06295521598121,3.74663548882867
chrX,50576803,50577304,2.652022523462436,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.281221093017174,1.68999156111455,1.82013206712813
chr2,157530604,157531105,0.6005290117206451,chr2,157526869,157530985,ENSMUSG00000082329.1,-,Gm14287,processed_pseudogene,4.67408851152682,6.7716213586728,7.10324267755846
chrX,50590637,50591138,2.993282096601732,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.203642860460712,1.43357904839372,1.69012263376183
chrX,50616956,50617457,2.85725884070023,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.21334013953027,1.49185461946664,1.60738935798328
chr10,69185870,69186371,0.3888461067430214,chr10,69149434,69293791,ENSMUSG00000019944.10,+,Rhobtb1,protein_coding,6.98204093008155,8.76464588936651,9.15975553262531
chr13,3359246,3359747,2.103239293466004,chr13,3359029,3363533,ENSMUSG00000096107.1,+,Gm16505,protein_coding,0.446074837199655,0.93240913716665,1.95014150049442
chrX,50600207,50600708,2.226832307822701,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.436377558130097,1.8648182743333,2.08015093386071
chr16,91961960,91962461,0.6247082838715448,chr16,91929237,91964915,ENSMUSG00000087190.1,+,D430001F17Rik,processed_transcript,2.49220072087633,4.16087577460618,3.8530068434011
chr10,13172858,13173359,0.4186721418784894,chr10,13147540,13179991,ENSMUSG00000019815.6,-,Zc2hc1b,protein_coding,3.13222113946714,4.89514797012491,4.19575898591224
chr1,88262056,88262557,0.4386065222745797,chr1,88224986,88264289,ENSMUSG00000079429.5,+,Mroh2a,protein_coding,4.75166674408328,7.50589355419153,6.45319551072699
chr1,88262056,88262557,0.4386065222745797,chr1,88260471,88279633,ENSMUSG00000044783.12,-,Hjurp,protein_coding,4.75166674408328,7.50589355419153,6.45319551072699
chr1,88258863,88259364,0.4902307936671928,chr1,88224986,88264289,ENSMUSG00000079429.5,+,Mroh2a,protein_coding,6.57475520916013,8.91616237415609,9.25430784780079
chr17,13550804,13551305,2.2554813678009813,chr17,13480553,13763825,ENSMUSG00000038347.10,-,Tcte2,protein_coding,19.2877069537987,33.57406961703729,46.38875214354007
chr13,3361068,3361569,1.40677743107217,chr13,3359029,3363533,ENSMUSG00000096107.1,+,Gm16505,protein_coding,1.50307825578145,2.28440238605829,4.00665435556126
chr9,18574368,18574869,0.4343818924667713,chr9,18572613,18576918,ENSMUSG00000084743.1,+,Gm25295,misc_RNA,3.40374495341476,4.11425531774784,4.60942536480499
chrX,50583666,50584167,2.3808207967572432,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.300615651156289,1.39861370574997,1.60738935798328
chrX,50617466,50617967,2.313815609417341,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.21334013953027,0.804202880806236,1.09917066391504
chr9,3001885,3002386,1.511607404292597,chr9,2998922,3004330,ENSMUSG00000091028.1,+,Gm10722,protein_coding,4.3346837440923,9.26581580059358,12.3981723273857
chr9,3001885,3002386,1.511607404292597,chr9,3001346,3008948,ENSMUSG00000096385.3,+,Gm11168,protein_coding,4.3346837440923,9.26581580059358,12.3981723273857
chr9,3001885,3002386,1.511607404292597,chr9,2998282,3040313,ENSMUSG00000097312.1,-,Gm26870,lincRNA,4.3346837440923,9.26581580059358,12.3981723273857
chr9,18380963,18381464,1.0848493361848073,chr9,18319951,18404995,ENSMUSG00000043943.10,-,Naalad2,protein_coding,0.746690488355944,1.11889096459998,1.59557031858634
chr9,35592848,35593349,0.9457537265191456,chr9,35568284,35692318,ENSMUSG00000074452.8,+,Pate2,protein_coding,1.85218030228552,2.75060695464162,3.58116893727157
chrX,50614835,50615336,2.001606961252663,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.455772116269212,1.77157736061663,1.85558918531893
chr9,35607592,35608093,1.1594062982914342,chr9,35605093,35613935,ENSMUSG00000032099.2,-,Pate4,protein_coding,1.17337076741648,1.80654270326038,2.6356457855167
chr9,35607592,35608093,1.1594062982914342,chr9,35568284,35692318,ENSMUSG00000074452.8,+,Pate2,protein_coding,1.17337076741648,1.80654270326038,2.6356457855167
chr14,34950920,34951421,0.968278090471837,chr14,34817825,35585379,ENSMUSG00000041078.6,+,Grid1,protein_coding,0.93093879067754,1.51516484789581,1.83195110652506
chr9,18380379,18380880,1.0772045801468226,chr9,18319951,18404995,ENSMUSG00000043943.10,-,Naalad2,protein_coding,0.610928581382136,1.1072358503854,1.30009433366295
chr9,72860719,72861220,0.5022083439702499,chr9,72804874,72919291,ENSMUSG00000036030.9,+,Prtg,protein_coding,3.35525855806697,4.65039057161867,4.76307287696516
chrX,50580138,50580639,2.3162117153341666,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.300615651156289,1.7249569037583,1.53647512160166
chr5,139138181,139138682,0.5107761725313092,chr5,139015306,139152001,ENSMUSG00000025855.9,-,Prkar1b,protein_coding,6.05110213940401,9.47560785645608,8.63971779916013
chr1,84309926,84310427,0.5093811236624497,chr1,84034296,84366180,ENSMUSG00000045658.12,-,Pid1,protein_coding,1.41580274415543,1.70164667532914,2.02105573687604
chr2,18698550,18699051,1.2018687184131491,chr2,18692032,18701037,ENSMUSG00000087182.3,+,Gm13334,protein_coding,1.59035376740746,2.72729672621245,3.67572125244706
chr2,18698550,18699051,1.2018687184131491,chr2,18697023,18752413,ENSMUSG00000037708.12,+,BC061194,protein_coding,1.59035376740746,2.72729672621245,3.67572125244706
chr18,37725446,37725947,1.5051811351331643,chr18,37712279,37728121,ENSMUSG00000104512.1,-,RP23-56B11.8,antisense,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37725446,37725947,1.5051811351331643,chr18,36950741,37842200,ENSMUSG00000103458.1,+,PCDHA4,protein_coding,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37725446,37725947,1.5051811351331643,chr18,36967916,37835296,ENSMUSG00000102836.1,+,RP23-407E2.5,protein_coding,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37725446,37725947,1.5051811351331643,chr18,36973941,37835296,ENSMUSG00000103125.1,+,RP23-407E2.6,protein_coding,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37725446,37725947,1.5051811351331643,chr18,37659793,37843873,ENSMUSG00000103144.1,+,Pcdhga1,protein_coding,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37725446,37725947,1.5051811351331643,chr18,37666953,37843870,ENSMUSG00000103332.1,+,Pcdhga2,protein_coding,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37725446,37725947,1.5051811351331643,chr18,37672307,37843873,ENSMUSG00000104346.1,+,PCDHGB6,protein_coding,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37725446,37725947,1.5051811351331643,chr18,37678233,37843870,ENSMUSG00000103037.1,+,Pcdhgb1,protein_coding,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37725446,37725947,1.5051811351331643,chr18,37683210,37843873,ENSMUSG00000103677.1,+,Pcdhga4,protein_coding,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37725446,37725947,1.5051811351331643,chr18,37687828,37843873,ENSMUSG00000102748.1,+,Pcdhgb2,protein_coding,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37725446,37725947,1.5051811351331643,chr18,37692380,37843873,ENSMUSG00000103567.1,+,Pcdhga5,protein_coding,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37725446,37725947,1.5051811351331643,chr18,37705039,37843873,ENSMUSG00000103793.1,+,Pcdhga6,protein_coding,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37725446,37725947,1.5051811351331643,chr18,37712764,37843873,ENSMUSG00000103472.1,+,Pcdhga7,protein_coding,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37725446,37725947,1.5051811351331643,chr18,37718369,37843870,ENSMUSG00000103585.1,+,Pcdhgb4,protein_coding,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37725446,37725947,1.5051811351331643,chr18,37723706,37843873,ENSMUSG00000103897.1,+,PCDHGB6,protein_coding,0.35741499345935507,1.9021287470044728,1.9162404475335828
chr18,37668608,37669109,1.1359473254674453,chr18,36950741,37842200,ENSMUSG00000103458.1,+,PCDHA4,protein_coding,0.59153402324302,1.09558073617081,1.31191337305988
chr18,37668608,37669109,1.1359473254674453,chr18,36967916,37835296,ENSMUSG00000102836.1,+,RP23-407E2.5,protein_coding,0.59153402324302,1.09558073617081,1.31191337305988
chr18,37668608,37669109,1.1359473254674453,chr18,36973941,37835296,ENSMUSG00000103125.1,+,RP23-407E2.6,protein_coding,0.59153402324302,1.09558073617081,1.31191337305988
chr18,37668608,37669109,1.1359473254674453,chr18,37659793,37843873,ENSMUSG00000103144.1,+,Pcdhga1,protein_coding,0.59153402324302,1.09558073617081,1.31191337305988
chr18,37668608,37669109,1.1359473254674453,chr18,37666953,37843870,ENSMUSG00000103332.1,+,Pcdhga2,protein_coding,0.59153402324302,1.09558073617081,1.31191337305988
