gene_name,gene_length,gene_type,gene_chr
Meg3,30725.0,lincRNA,chr12
Tsix,53440.0,antisense,chrX
Gpc5,1432964.0,protein_coding,chr14
Ube3a,82786.0,,
Cdk9,7292.0,protein_coding,chr2
Lmo4,16690.0,protein_coding,chr3
Snrnp70,19289.0,protein_coding,chr7
Camk2a,62534.0,protein_coding,chr18
Mapt,100700.0,protein_coding,chr11
Grin1,28006.0,protein_coding,chr2
Slc17a7,12193.0,protein_coding,chr7
Nrg3os,60492.0,antisense,chr14
Sorbs2os,95972.0,antisense,chr8
Cacna1a,301607.0,protein_coding,chr8
Celf4,276525.0,protein_coding,chr18
Camkv,14017.0,protein_coding,chr9
Gpc6,1051229.0,protein_coding,chr14
Syt7,64090.0,protein_coding,chr19
Sptbn4,91303.0,protein_coding,chr7
Pabpn1,5669.0,,
Rnf112,5689.0,protein_coding,chr11
Pde2a,91136.0,protein_coding,chr7
AY036118,,,
C1ql3,8349.0,,
Kcnh3,17956.0,protein_coding,chr15
Olfm1,37744.0,protein_coding,chr2
Pacsin1,55973.0,protein_coding,chr17
Dgkz,43040.0,protein_coding,chr2
Chst1,15543.0,protein_coding,chr2
Banf2,40920.0,,
Dlg4,30580.0,protein_coding,chr11
Rbfox3,421835.0,protein_coding,chr11
Abr,206824.0,protein_coding,chr11
Ptprs,64057.0,protein_coding,chr17
Csmd2,579799.0,protein_coding,chr4
Srcin1,66846.0,protein_coding,chr11
Cpt1c,15479.0,protein_coding,chr7
Celf5,23482.0,protein_coding,chr10
Atp1a1,28465.0,protein_coding,chr3
Mgat4c,709982.0,protein_coding,chr10
Camk2b,96718.0,protein_coding,chr11
Camkk2,48239.0,protein_coding,chr5
Jph4,10109.0,,
Thra,28368.0,protein_coding,chr11
Cdh13,1041188.0,protein_coding,chr8
Grik5,62497.0,protein_coding,chr7
Fgfr2,2960899.0,protein_coding,chr7
Baiap2,64019.0,protein_coding,chr11
5330438D12Rik,74463.0,,
Nrxn2,125438.0,protein_coding,chr19
Syt17,67505.0,protein_coding,chr7
Grin2b,460278.0,protein_coding,chr6
Unc13a,47340.0,protein_coding,chr8
Tmem132a,12118.0,protein_coding,chr19
Gm15738,114381.0,antisense,chr16
Ptprn,17475.0,protein_coding,chr1
Stx1a,27618.0,protein_coding,chr5
Ctnna3,1573569.0,protein_coding,chr10
Elavl3,37018.0,protein_coding,chr9
Sez6l,158034.0,protein_coding,chr5
Prkcg,41920.0,protein_coding,chr7
Gpi1,29006.0,protein_coding,chr7
Ptms,6422.0,,
Kalrn,604459.0,protein_coding,chr16
Srrm3,67882.0,protein_coding,chr5
Matn2,129596.0,protein_coding,chr15
Ccnd2,27031.0,protein_coding,chr6
Lztr1,17645.0,protein_coding,chr16
Akap8l,29183.0,protein_coding,chr17
Miat,16167.0,lincRNA,chr5
Nwd2,161444.0,protein_coding,chr5
Tom1l2,126191.0,protein_coding,chr11
Lmtk3,20406.0,protein_coding,chr7
Matk,10430.0,protein_coding,chr10
Dnm1,44867.0,protein_coding,chr2
Far1os,34498.0,,
Celf3,13903.0,protein_coding,chr3
Rplp1,1258.0,,
Rbfox1,1526171.0,protein_coding,chr16
Ank3,628665.0,protein_coding,chr10
Camk2n1,5809.0,protein_coding,chr4
Rasal1,30785.0,protein_coding,chr5
Pitpnm2,131070.0,protein_coding,chr5
Rundc3a,9152.0,protein_coding,chr11
Nav2,701374.0,protein_coding,chr7
Kcnh4,19566.0,protein_coding,chr11
Shank1,50319.0,protein_coding,chr7
Scn8a,176080.0,protein_coding,chr15
Rasgef1a,80108.0,protein_coding,chr6
Syt11,30464.0,protein_coding,chr3
Actn1,92824.0,protein_coding,chr12
Slc8a2,31237.0,protein_coding,chr7
Gabrd,13132.0,,
Nkain3,659992.0,protein_coding,chr4
Grm1,396297.0,protein_coding,chr10
Dnmt3a,108436.0,protein_coding,chr12
Sptan1,65891.0,protein_coding,chr2
Otof,94870.0,,
Arf3,26580.0,protein_coding,chr15
Cux2,193736.0,protein_coding,chr5
Lmo7,204753.0,protein_coding,chr14
Vwa3a,66424.0,protein_coding,chr7
Syp,14785.0,,
Slc30a3,22131.0,protein_coding,chr5
Smarca2,173272.0,protein_coding,chr19
Pcsk2,270129.0,protein_coding,chr2
Gas7,233553.0,protein_coding,chr11
Gm1043,144177.0,,
Tyro3,20371.0,protein_coding,chr2
Nova2,39431.0,protein_coding,chr7
Slit3,587283.0,protein_coding,chr11
Gdi1,6864.0,,
Cnot3,15841.0,,
Grip1,633431.0,protein_coding,chr10
Pdzrn4,374938.0,protein_coding,chr15
Gnb2,5383.0,protein_coding,chr5
9530059O14Rik,107097.0,lincRNA,chr9
Itpka,8926.0,protein_coding,chr2
Agbl4,1266663.0,protein_coding,chr4
Sv2a,14370.0,,
Nav1,253525.0,protein_coding,chr1
Arglu1,25446.0,,
Slc12a5,38929.0,protein_coding,chr2
Usp7,102713.0,protein_coding,chr16
Tmem63b,26734.0,protein_coding,chr17
Gm28376,193446.0,antisense,chr1
Atp2b4,101584.0,protein_coding,chr1
Coro1a,8014.0,protein_coding,chr7
Cul9,45816.0,protein_coding,chr17
Zfp462,138515.0,protein_coding,chr4
Ltbp4,32556.0,protein_coding,chr7
Mark2,66464.0,protein_coding,chr19
Ttc14,15028.0,,
Icam5,6963.0,protein_coding,chr9
Tmem132b,260809.0,protein_coding,chr5
Stxbp1,59643.0,protein_coding,chr2
Ryr1,121835.0,protein_coding,chr7
Syngap1,31181.0,protein_coding,chr17
Ndrg4,38139.0,protein_coding,chr8
Nisch,46016.0,protein_coding,chr14
Speg,57023.0,protein_coding,chr1
Gm10754,285676.0,,
Xist,22888.0,lincRNA,chrX
Ptk2b,127795.0,protein_coding,chr14
Sdk1,974096.0,protein_coding,chr5
4930419G24Rik,63830.0,antisense,chr3
Vwa5b2,15906.0,protein_coding,chr16
Rapgefl1,16912.0,protein_coding,chr11
Exd2,37132.0,protein_coding,chr12
Nlgn2,14662.0,protein_coding,chr11
Dapk1,161244.0,protein_coding,chr13
Dctn1,34197.0,protein_coding,chr6
Nr2f1,10784.0,protein_coding,chr13
Med24,24844.0,protein_coding,chr11
Tmem259,9382.0,protein_coding,chr10
Zfp280d,88917.0,,
Atp2b3,67919.0,protein_coding,chrX
Edil3,501751.0,protein_coding,chr13
Kifc2,8338.0,protein_coding,chr15
Ankrd13d,12957.0,protein_coding,chr19
