gene_name,gene_length,gene_type,gene_chr
Meg3,30725.0,lincRNA,chr12
AY036118,,,
Atp1b1,21246.0,protein_coding,chr1
Snrnp70,19289.0,,
Agbl4,1266663.0,protein_coding,chr4
Atp6v0c,5836.0,protein_coding,chr17
Xist,22888.0,lincRNA,chrX
Pabpn1,5669.0,,
Slc25a3,7485.0,,
Sgcz,1139210.0,,
Tsix,53440.0,antisense,chrX
Mgat4c,709982.0,protein_coding,chr10
Pcsk1n,4588.0,,
Hspa8,9103.0,,
Gria2,121385.0,protein_coding,chr3
Las1l,21627.0,,
Tmsb4x,2222.0,,
Nr3c2,345570.0,,
Tshz3,75435.0,protein_coding,chr7
Maged1,6669.0,,
Ubb,2042.0,,
Syt11,30464.0,,
Pabpc4,36574.0,protein_coding,chr4
Immp2l,931498.0,protein_coding,chr12
Smyd3,566081.0,protein_coding,chr1
Rps8,2416.0,,
Galntl6,1138588.0,protein_coding,chr8
Slc32a1,4981.0,protein_coding,chr2
Mif,,,
Cox4i1,5985.0,,
Ptprz1,177414.0,protein_coding,chr6
Cox5b,2232.0,,
Lrrc4c,1313497.0,protein_coding,chr2
Ndufa4,7205.0,,
Calm1,10379.0,,
Calm2,13523.0,,
Slc9a9,560536.0,protein_coding,chr9
Psap,24970.0,,
Rpsa,4680.0,,
Ano4,395768.0,,
Nrg1,1069703.0,,
Rps21,1068.0,,
Rpl13,2894.0,,
Tbc1d5,446228.0,,
Kcnq5,563539.0,protein_coding,chr1
Rplp1,1258.0,,
Ckb,2977.0,,
Cdh18,925396.0,protein_coding,chr15
Stmn3,8041.0,,
Sv2a,14370.0,,
Rpl28,2192.0,protein_coding,chr7
Cmss1,304864.0,protein_coding,chr16
Hsp90ab1,5496.0,,
Sntg1,938403.0,protein_coding,chr1
Kctd8,232394.0,protein_coding,chr5
Zmat4,520566.0,,
Dalrd3,2888.0,,
Pgam1,6737.0,,
Ubc,4237.0,,
Rims2,486111.0,protein_coding,chr15
Cpt1c,15479.0,protein_coding,chr7
Slc25a5,3156.0,,
Rab3a,3998.0,,
Matk,10430.0,,
Gm20629,99474.0,,
Aldoa,6917.5,,
Rps29,1464.0,,
Map1lc3a,1776.0,,
Gapdh,4752.0,,
Ptprd,2270723.0,protein_coding,chr4
Tmem132a,12118.0,,
Rpl23,4910.0,,
Ly6h,15987.0,,
Brd9,23084.0,,
Rpl13a,3203.0,protein_coding,chr7
Gm11867,484493.0,,
Cox8a,2463.0,,
Bex2,1672.0,,
Snd1,460023.0,protein_coding,chr6
Snrpn,157724.0,,
Cntn5,1243884.0,protein_coding,chr9
Rnf112,5689.0,,
Cd81,15195.0,,
Ndrg4,38139.0,,
Ndufa13,8378.0,,
Tmem59l,3491.0,,
Btbd11,273478.0,protein_coding,chr10
Ube3a,82786.0,,
Rps2,3813.0,,
Enox1,564997.0,protein_coding,chr14
Cadm1,327464.0,protein_coding,chr9
Fth1,4500.0,,
Fam173a,2821.0,,
Idh3b,5238.0,,
Bbx,240546.0,,
Fer,276434.0,protein_coding,chr17
Rps5,4396.0,,
Kcnmb2,297673.0,protein_coding,chr3
Atp5g3,2879.0,,
H2afz,2435.0,,
Chchd2,6314.0,,
Celf3,13903.0,,
Atp5k,1204.0,,
Rpl34,3567.0,,
Tpt1,3432.0,protein_coding,chr14
Nat8l,9932.0,,
Rps16,2503.0,,
Slc38a2,12338.0,,
Ntm,968391.0,protein_coding,chr9
Oxr1,413566.0,protein_coding,chr15
Plcb1,689191.0,protein_coding,chr2
Actr1b,16308.0,,
Chrm3,485361.0,protein_coding,chr13
Rpl37a,2523.0,,
Myl6,3285.0,,
Fgf12,592970.0,,
