gene_name,gene_length,gene_type,gene_chr
Xkr4,465597.0,,
Gm1992,46966.0,,
Mrpl15,12533.0,,
Lypla1,40622.0,,
Tcea1,40095.0,,
Rgs20,160709.0,,
Atp6v1h,92511.0,,
Oprk1,17665.0,protein_coding,chr1
Rb1cc1,70451.0,,
4732440D04Rik,5427.0,,
St18,373709.0,,
Pcmtd1,84708.0,,
Gm26901,48463.0,,
Sntg1,938403.0,protein_coding,chr1
Rrs1,2047.0,,
Adhfe1,32725.0,,
2610203C22Rik,70343.0,,
Mybl1,32794.0,,
Vcpip1,29760.0,,
Sgk3,102738.0,,
Mcmdc2,33447.0,,
Snhg6,2159.0,,
Ppp1r42,40512.0,,
Cops5,13567.0,,
Cspp1,98781.0,,
Arfgef1,95099.0,,
Cpa6,395225.0,,
Prex2,310216.0,protein_coding,chr1
A830018L16Rik,561796.0,protein_coding,chr1
Sulf1,168915.0,,
Slco5a1,126101.0,,
Ncoa2,234978.0,,
Tram1,25212.0,,
Lactb2,37216.0,,
Eya1,141281.0,,
Gm9947,23994.0,,
Msc,2646.0,,
Kcnb2,436496.0,,
Terf1,38406.0,,
Sbspon,38860.0,,
4930444P10Rik,27346.0,,
Rpl7,3367.0,,
Rdh10,27960.0,,
Stau2,291438.0,,
Gm7568,14329.0,,
Ube2w,78699.0,,
Tmem70,13068.0,,
Ly96,21560.0,,
Gm28376,193446.0,antisense,chr1
Jph1,133329.0,protein_coding,chr1
Gdap1,18909.0,,
Gm16070,51619.0,,
Crispld1,39299.0,,
Gm28153,63502.0,,
Gm28756,64594.0,,
Paqr8,49044.0,,
Efhc1,39215.0,,
Tmem14a,11592.0,,
Gsta3,25072.0,,
Gm28836,21234.0,,
Kcnq5,563539.0,protein_coding,chr1
Rims1,519743.0,,
Ogfrl1,31348.0,,
B3gat2,87405.0,,
Smap1,77471.0,,
Fam135a,89248.0,,
Col9a1,75074.0,,
Col19a1,325582.0,,
Lmbrd1,87671.0,,
Phf3,71582.0,,
Ptp4a1,9237.5,,
Khdrbs2,485854.0,,
Prim2,215985.0,,
Rab23,22677.0,protein_coding,chr1
Bag2,12311.0,protein_coding,chr1
Zfp451,53050.0,,
Bend6,55764.0,,
Dst,400436.0,,
Gm26788,12590.0,,
Ccdc115,3002.0,,
Imp4,9505.0,,
Ptpn18,15971.0,,
Amer3,11287.0,,
Arhgef4,135121.0,protein_coding,chr1
Fam168b,29846.0,,
Plekhb2,29604.0,,
Hs6st1,38046.0,,
Uggt1,104693.0,,
Kansl3,33451.0,,
Lman2l,25400.0,,
Cnnm4,37144.0,,
Cnnm3,16370.0,,
Ankrd23,6695.0,,
Ankrd39,9938.0,,
Sema4c,9710.0,,
Cox5b,2232.0,,
Actr1b,16308.0,,
Zap70,21020.0,,
Tmem131,151475.0,,
Vwa3b,161017.0,,
