2mo,9mo,18mo,gene_name,distance
0.33,0.64,0.45,Ppp1r42,17751
0.33,0.64,0.45,Gm15818,3988
0.43,0.69,0.59,Arfgef1,4378
0.66,0.94,0.87,Sulf1,45314
0.5,0.73,0.66,Prdm14,7176
0.29,0.54,0.38,Ncoa2,11766
0.18,0.45,0.3,Eya1,7301
0.34,0.62,0.43,Kcnb2,73266
0.41,0.63,0.67,Gm28095,623
0.41,0.63,0.67,Stau2,18765
0.39,0.68,0.49,Gm29006,339
0.13,0.33,0.14,Pkhd1,159656
0.27,0.52,0.41,Pkhd1,276717
0.4,0.61,0.39,Paqr8,20476
0.57,0.78,0.77,Gsta3,9922
0.57,0.78,0.77,Gm28836,152
0.19,0.41,0.33,Kcnq5,108793
0.46,0.54,0.25,Rims1,203519
0.28,0.46,0.49,Ogfrl1,6799
0.47,0.69,0.55,Gm28822,2034
0.21,0.52,0.36,Fam135a,15855
0.42,0.18,0.32,Col9a1,35408
0.4,0.68,0.61,Col19a1,13007
0.68,0.87,0.95,Col19a1,149062
0.17,0.55,0.61,Gm18443,360
0.27,0.56,0.4,Gm5697,2646
0.36,0.59,0.37,Gm5697,2759
0.25,0.54,0.4,Gm4850,2200
0.25,0.44,0.24,Prim2,8406
0.3,0.54,0.39,Prim2,68710
0.39,0.6,0.61,Zfp451,17623
0.25,0.47,0.38,Dst,8900
0.25,0.47,0.38,AC123072.1,8853
0.64,0.87,0.8,Dst,194023
0.64,0.87,0.8,AC123072.1,192954
0.62,0.82,0.85,DST,12249
0.62,0.82,0.85,Gm26788,6723
0.62,0.82,0.85,Dst,140082
0.62,0.82,0.85,AC123072.1,139013
0.52,0.81,0.62,DST,6873
0.52,0.81,0.62,Gm26788,2283
0.52,0.81,0.62,Dst,132498
0.52,0.81,0.62,AC123072.1,131429
0.25,0.53,0.41,DST,6561
0.25,0.53,0.41,Gm26788,1971
0.25,0.53,0.41,Dst,132186
0.25,0.53,0.41,AC123072.1,131117
0.27,0.49,0.38,Dst,106751
0.27,0.49,0.38,AC123072.1,105682
0.26,0.44,0.19,Dst,82409
0.26,0.44,0.19,AC123072.1,81340
0.31,0.58,0.42,Dst,7850
0.31,0.58,0.42,AC123072.1,6781
0.15,0.45,0.31,Dst,4661
0.15,0.45,0.31,AC123072.1,3592
0.5,0.77,0.72,Plekhb2,2951
0.55,0.82,0.65,Hs6st1,5146
0.62,0.76,0.84,Uggt1,36470
0.36,0.59,0.43,Uggt1,32080
0.45,0.66,0.59,Kansl3,668
0.45,0.66,0.59,Fer1l5,222
0.24,0.47,0.33,Cnnm3,9390
0.34,0.49,0.21,Cnnm3,7020
0.4,0.62,0.52,Fam178b,52139
0.37,0.61,0.47,Tmem131,20207
0.25,0.42,0.21,Tmem131,57394
0.25,0.46,0.21,Tmem131,71390
0.4,0.68,0.46,Tmem131,1425
0.67,0.88,0.75,Inpp4a,44743
0.53,0.79,0.62,Inpp4a,32896
0.37,0.61,0.55,Inpp4a,32585
0.53,0.76,0.65,Inpp4a,25935
0.61,0.82,0.7,Mgat4a,44637
0.23,0.48,0.36,2010300C02Rik,41229
0.25,0.55,0.22,2010300C02Rik,43097
0.13,0.34,0.22,Tsga10,37537
0.32,0.54,0.35,Rev1,24104
0.62,0.85,0.81,Aff3,1251
0.31,0.53,0.37,Aff3,56705
0.23,0.51,0.35,Aff3,56801
0.18,0.4,0.23,Aff3,92815
0.27,0.49,0.38,Aff3,99757
0.3,0.6,0.37,Aff3,144282
0.43,0.7,0.5,Aff3,144798
0.24,0.51,0.36,Aff3,154658
0.43,0.67,0.54,Aff3,173329
0.35,0.65,0.46,Aff3,173512
0.22,0.46,0.38,Gm16152,5628
0.22,0.46,0.38,Aff3,215020
0.26,0.53,0.4,Gm16152,4861
0.26,0.53,0.4,Aff3,215787
0.31,0.57,0.46,Aff3,199144
0.43,0.68,0.46,Aff3,92488
0.68,0.89,0.73,Aff3,8515
0.39,0.66,0.52,RP23-101P2.3,1167
0.39,0.66,0.52,Chst10,16240
0.71,0.92,0.87,RP23-101P2.3,1480
0.71,0.92,0.87,Chst10,11569
0.19,0.35,0.42,Npas2,23374
0.33,0.62,0.45,Creg2,1996
0.14,0.35,0.17,Rfx8,9777
0.29,0.5,0.37,Map4k4,38697
0.47,0.63,0.43,Il1r1,36623
0.35,0.59,0.44,Il1rl2,7538
0.29,0.53,0.4,Il18r1,12907
0.31,0.54,0.36,RP23-346B12.3,6016
0.39,0.6,0.39,Gm29260,50360
0.58,0.8,0.58,Gm28175,1021
0.62,0.84,0.69,RP23-480H8.1,69
0.52,0.73,0.57,Pantr1,27795
0.38,0.63,0.52,Pantr1,24408
0.12,0.37,0.21,Pantr1,17289
0.27,0.53,0.34,Pantr1,15109
0.18,0.41,0.36,Pantr2,488
0.18,0.41,0.36,Gm20646,12624
0.53,0.76,0.65,Gm20646,3033
0.18,0.4,0.38,Mrps9,18900
0.27,0.51,0.42,Mrps9,18068
0.28,0.55,0.33,Gm29040,12845
0.46,0.67,0.54,Dnah7c,190190
0.52,0.85,0.66,Dnah7c,143614
0.29,0.5,0.33,Sdpr,2001
0.29,0.5,0.33,9330175M20Rik,46652
0.39,0.67,0.59,Myo1b,20139
0.14,0.43,0.32,Myo1b,19523
0.51,0.72,0.52,Myo1b,18532
0.24,0.45,0.36,Myo1b,13764
0.54,0.81,0.67,Ankrd44,17762
0.64,0.85,0.74,4930444A19Rik,18283
0.64,0.85,0.74,Ankrd44,107901
0.23,0.5,0.31,Ankrd44,62890
0.23,0.48,0.25,Plcl1,172618
0.69,0.92,0.81,9130024F11Rik,40165
0.32,0.63,0.52,Aox1,15676
0.54,0.79,0.68,Aox3,1357
0.35,0.59,0.42,Gm15759,31813
0.35,0.59,0.42,Aox2,9517
0.38,0.64,0.43,Gm23966,2042
0.38,0.64,0.43,Orc2,5786
0.38,0.64,0.43,Nif3l1,17259
0.34,0.56,0.35,Als2cr12,10071
0.34,0.56,0.35,Gm20257,2857
0.48,0.76,0.63,Cflar,11381
0.3,0.57,0.52,Gm973,6168
0.3,0.57,0.52,Sumo1,40585
0.59,0.82,0.71,Bmpr2,201
0.33,0.55,0.52,Pard3b,328812
0.39,0.62,0.59,Pard3b,299759
0.18,0.39,0.2,Pard3b,138661
0.32,0.63,0.42,Pard3b,138486
0.26,0.55,0.4,Pard3b,129273
0.34,0.56,0.39,Pard3b,114517
0.21,0.42,0.33,Pard3b,114184
0.36,0.55,0.64,Pard3b,56491
0.48,0.76,0.7,Gm11600,586
0.42,0.7,0.6,Gm27512,1773
0.42,0.7,0.6,Gpr1,17113
0.34,0.58,0.4,Adam23,29306
0.44,0.7,0.52,Adam23,35675
0.57,0.84,0.78,Ccnyl1,1134
0.29,0.55,0.48,Pikfyve,33909
0.3,0.51,0.41,Pth2r,54948
0.28,0.62,0.44,Gm25832,44
0.28,0.62,0.44,Acadl,436
0.4,0.65,0.52,Lancl1,18823
0.32,0.59,0.39,Gm15668,18803
0.51,0.78,0.6,Gm15668,19101
0.4,0.53,0.3,Erbb4,90300
0.34,0.57,0.36,Erbb4,173423
0.29,0.54,0.39,Ikzf2,24205
0.18,0.44,0.35,Spag16,72370
1.0,0.95,0.74,Spag16,112145
0.51,0.77,0.67,Abca12,76624
0.6,0.88,0.74,Abca12,28492
0.17,0.44,0.35,Gm4319,6008
0.32,0.54,0.4,Pecr,6159
0.2,0.42,0.4,Xrcc5,21488
0.12,0.34,0.16,Smarcal1,5053
0.21,0.44,0.33,Smarcal1,17886
0.45,0.72,0.51,6030407O03Rik,37554
0.45,0.72,0.51,Gm29183,15005
0.18,0.39,0.23,Tns1,66148
0.21,0.46,0.26,Arpc2,5323
0.24,0.48,0.34,Usp37,55057
0.34,0.59,0.51,Cyp27a1,9149
0.57,0.82,0.73,Fam134a,3841
