2mo,9mo,18mo,gene_name,distance
0.38,0.28,0.49,Sox17,2439
0.59,0.49,0.69,Sntg1,51651
0.45,0.66,0.54,Sntg1,206034
0.6,0.74,0.8,Sntg1,419096
0.24,0.25,0.45,Sntg1,362697
0.32,0.25,0.45,1700034P13Rik,23093
0.6,0.7,0.85,Cpa6,184957
0.47,0.35,0.25,Prex2,129794
0.76,0.68,0.53,Prex2,65360
0.64,0.7,0.85,Sulf1,64217
0.81,0.64,0.86,Slco5a1,18627
0.31,0.33,0.53,Eya1,23571
0.44,0.37,0.58,Trpa1,114
0.72,0.72,0.36,Stau2,84432
0.41,0.62,0.59,Crisp4,16832
0.45,0.7,0.53,Pkhd1,43233
0.71,0.83,0.63,Pkhd1,251965
0.56,0.77,0.62,Paqr8,22934
0.29,0.39,0.19,Tram2,3861
0.53,0.64,0.83,Kcnq5,15654
0.55,0.6,0.77,Kcnq5,15660
0.75,0.64,0.84,Rims1,221944
0.72,0.84,0.63,Rims1,245169
0.77,0.87,0.66,Gm7784,534
0.55,0.56,0.34,Col19a1,50343
0.4,0.61,0.38,Col19a1,23353
0.06,0.27,0.05,Gm28439,627
0.06,0.27,0.05,Gm10222,917
0.06,0.27,0.05,Gm28438,1336
0.06,0.27,0.05,Gm28437,2188
0.06,0.27,0.05,Gm10925,1809
0.06,0.27,0.05,Gm28661,898
0.06,0.27,0.05,Gm29216,77
0.58,0.57,0.28,Lmbrd1,43739
0.52,0.73,0.5,Bai3,113516
0.95,0.74,0.86,RP23-21P2.3,485
0.95,0.74,0.86,Bai3,217227
0.34,0.46,0.55,Bai3,245233
0.21,0.15,0.42,Bai3,365246
0.45,0.26,0.56,RP23-184I13.7,386
0.45,0.26,0.56,Bai3,20121
0.72,0.84,0.63,Rab23,9779
0.77,0.82,0.6,Dst,117025
0.77,0.82,0.6,AC123072.1,116978
0.47,0.53,0.31,Dst,159636
0.47,0.53,0.31,AC123072.1,159589
0.45,0.57,0.66,Dst,26447
0.45,0.57,0.66,AC123072.1,25378
0.47,0.52,0.3,Arhgef4,16546
0.41,0.68,0.59,Arhgef4,56036
0.45,0.65,0.55,RP23-173H19.3,1003
0.29,0.51,0.4,RP23-173H19.3,308
0.29,0.51,0.4,Uggt1,2411
0.86,0.75,0.66,Uggt1,23748
0.36,0.45,0.57,Fam178b,1701
0.56,0.59,0.38,Tmem131,41381
0.44,0.63,0.42,Tmem131,8368
0.48,0.64,0.4,Inpp4a,21623
0.3,0.44,0.5,Lyg2,504
0.84,0.67,0.63,Rev1,23133
0.95,0.78,0.68,Aff3,170866
0.38,0.29,0.5,Aff3,121204
0.51,0.6,0.71,Aff3,38137
0.59,0.38,0.54,Chst10,4918
0.21,0.23,0.49,Gm23722,181
0.21,0.23,0.49,Rnf149,3711
0.82,0.58,0.72,Map4k4,34140
0.42,0.31,0.57,Il1r2,10460
0.3,0.38,0.51,Gm29260,30443
0.28,0.19,0.45,Gm29260,52170
0.43,0.54,0.32,Pantr1,36204
0.54,0.48,0.7,Gm20646,19204
0.41,0.54,0.25,Gm29040,3188
0.43,0.64,0.58,Gulp1,116729
0.79,0.7,0.91,Dnah7b,119190
0.84,0.7,0.91,Dnah7c,77092
0.46,0.63,0.4,Dnah7c,75925
0.6,0.7,0.8,Tmeff2,60817
0.45,0.44,0.22,9330175M20Rik,13730
0.52,0.51,0.29,9330175M20Rik,13806
0.51,0.35,0.55,Gm28177,37709
0.51,0.35,0.55,Stat1,2938
0.68,0.9,0.75,1700019A02Rik,12753
0.55,0.77,0.56,4930444A19Rik,10765
0.55,0.77,0.56,Ankrd44,47154
0.44,0.52,0.29,Ankrd44,136825
0.97,0.68,0.87,Boll,26708
0.35,0.14,0.32,Plcl1,34674
0.46,0.34,0.61,9130024F11Rik,22104
0.55,0.46,0.67,9130024F11Rik,27260
0.69,0.6,0.48,9130024F11Rik,17259
0.24,0.51,0.35,9130024F11Rik,11634
0.51,0.46,0.71,Gm5254,599
0.74,0.96,0.97,Gm8581,1194
0.74,0.96,0.97,RP23-433B11.1,1387
0.47,0.65,0.44,Aox1,37974
0.31,0.39,0.53,Aox3,1644
0.7,0.91,0.76,Aox3,39754
0.92,1.0,0.61,Gm10068,2115
0.92,1.0,0.61,Als2cr12,2221
0.18,0.29,0.44,Casp8,2974
0.18,0.29,0.44,RP24-273P12.4,565
0.36,0.43,0.6,Gm28802,11202
0.84,0.74,0.94,Gm28802,17779
0.73,0.9,0.67,Als2cr11,19766
0.95,1.0,0.78,Tmem237,10678
0.48,0.28,0.35,Cdk15,14024
0.64,0.61,0.44,Fzd7,2651
0.64,0.61,0.44,Gm26813,176
0.56,0.45,0.31,Gm26813,2161
0.31,0.54,0.4,Gm973,45203
0.31,0.54,0.4,Sumo1,8656
0.33,0.54,0.58,Gm11575,2094
0.33,0.54,0.58,Raph1,42641
0.71,0.65,0.86,9530026F06Rik,161
0.68,0.87,0.66,Pard3b,475706
0.43,0.4,0.61,Nrp2,14743
0.82,0.88,0.62,Gpr1,4197
0.58,0.63,0.35,Gm11608,226
0.49,0.55,0.7,Gm11608,1643
0.31,0.35,0.53,Gm11608,4572
0.17,0.09,0.31,Zdbf2,7056
0.41,0.3,0.2,Adam23,4970
0.51,0.39,0.25,Adam23,6166
0.44,0.64,0.44,Adam23,67529
0.54,0.43,0.3,Adam23,49197
0.51,0.4,0.64,Dytn,21532
