chr,start,end,log2(old/young),gene_chr,gene_start,gene_end,gene_id,gene_strand,gene_name,gene_type,2mo,9mo,18mo
chr8,20885914,20886415,5.567800447235702,chr8,20881276,20886398,ENSMUSG00000094844.1,-,Gm20796,processed_pseudogene,0.2537817429163737,6.0111904762938115,9.576163060650854
chr8,20885914,20886415,5.567800447235702,chr8,20882608,20890200,ENSMUSG00000093800.1,-,Gm20796,processed_pseudogene,0.2537817429163737,6.0111904762938115,9.576163060650854
chr9,36433087,36433588,3.5445003595118725,chr9,36429884,36436938,ENSMUSG00000023093.7,+,Gm7257,protein_coding,0.463578406221148,4.40345553525022,5.59016794657139
chrX,8662944,8663445,5.565561975039702,chrX,8660302,8665828,ENSMUSG00000082458.1,-,Gm9430,processed_pseudogene,0.17288194873375806,4.032881783392139,7.208322142888448
chrX,55433095,55433596,5.652497611810984,chrX,55429819,55448793,ENSMUSG00000096127.2,+,Gm14625,unprocessed_pseudogene,0.0662254866030211,1.85408654115799,4.00982510935501
chr7,13450587,13451088,1.6023220667428824,chr7,13448841,13475449,ENSMUSG00000074378.3,+,Bsph1,protein_coding,4.34439192115819,11.5880408822374,13.326771686974
chr7,38498454,38498955,7.907070438896581,chr7,38498432,38539077,ENSMUSG00000100169.1,+,Gm29087,antisense,0.0,5.2289725047147675,14.17847119405598
chr7,13646230,13646731,6.738470834920836,chr7,13621967,13672807,ENSMUSG00000078799.5,+,Sult2a5,protein_coding,0.0132450973206042,1.13562800645927,2.83046478307412
chr9,35840331,35840832,2.6895470570818683,chr9,35836329,35846150,ENSMUSG00000047980.6,-,9230110F15Rik,protein_coding,0.754970547274441,4.10216647231205,4.97690057690533
chr7,25901952,25902453,1.800699135096177,chr7,25895620,25928624,ENSMUSG00000030483.10,+,Cyp2b10,protein_coding,2.52981358823541,5.93307693170556,8.91596406668349
chrX,50600207,50600708,2.8501959174796645,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.450333308900544,2.13219952233168,3.34938332663771
chr13,3358606,3359107,2.213886536758288,chr13,3359029,3363533,ENSMUSG00000096107.1,+,Gm16505,protein_coding,3.3373974050114494,9.37655026136996,10.036203620438567
chr9,3001885,3002386,1.681505321017453,chr9,2998922,3004330,ENSMUSG00000091028.1,+,Gm10722,protein_coding,3.17882335694502,14.5314032663257,10.3076092516949
chr9,3001885,3002386,1.681505321017453,chr9,3001346,3008948,ENSMUSG00000096385.3,+,Gm11168,protein_coding,3.17882335694502,14.5314032663257,10.3076092516949
chr9,3001885,3002386,1.681505321017453,chr9,2998282,3040313,ENSMUSG00000097312.1,-,Gm26870,lincRNA,3.17882335694502,14.5314032663257,10.3076092516949
