chr,start,end,log2(old/young),gene_chr,gene_start,gene_end,gene_id,gene_strand,gene_name,gene_type,2mo,9mo,18mo
chr4,144455014,144455515,5.315025419282082,chr4,144451009,144455317,ENSMUSG00000095213.1,-,Gm9944,protein_coding,0.20143271741752852,9.530973451580117,8.388414244927809
chr4,144455014,144455515,5.315025419282082,chr4,144451771,144465756,ENSMUSG00000078507.1,-,Aadacl3,protein_coding,0.20143271741752852,9.530973451580117,8.388414244927809
chr7,35118881,35119382,0.86739342751439,chr7,35117293,35123926,ENSMUSG00000034957.9,+,Cebpa,protein_coding,12.2453550585228,16.4697355317102,22.8550153160523
chr14,41491092,41491593,3.854577460313292,chr14,41482232,41491485,ENSMUSG00000090505.2,-,Gm3486,protein_coding,2.277065846258533,4.0229842535511935,8.643761915599038
chr8,121652746,121653247,0.5920679398133,chr8,121652054,121656517,ENSMUSG00000098221.1,+,Gm27030,lincRNA,26.0492098517666,29.5028727044415,40.1558788653545
chr8,121652746,121653247,0.5920679398133,chr8,119908841,124347722,ENSMUSG00000092329.1,+,Gm20388,protein_coding,26.0492098517666,29.5028727044415,40.1558788653545
chr8,121652746,121653247,0.5920679398133,chr8,121596703,121654901,ENSMUSG00000061410.6,-,Zcchc14,protein_coding,26.0492098517666,29.5028727044415,40.1558788653545
chr5,145349641,145350142,3.308236253619444,chr5,145343279,145392512,ENSMUSG00000070419.7,+,Cyp3a57,protein_coding,0.8757934122980235,5.24801547632008,8.511606852213541
chr4,139574266,139574767,0.5529040272314387,chr4,139528548,139622382,ENSMUSG00000041025.11,+,Iffo2,protein_coding,26.0863169883076,34.1066176759037,39.1344256668717
chr7,25901952,25902453,2.0277747760274654,chr7,25895620,25928624,ENSMUSG00000030483.10,+,Cyp2b10,protein_coding,1.1874283693113,2.6585006173233,5.04342516750875
chr16,4789753,4790254,0.6518756706555799,chr16,4748348,4792292,ENSMUSG00000004071.8,-,Cdip1,protein_coding,16.2900329414894,25.3530180822783,26.1747382111214
chr8,20921978,20922479,5.394096990273281,chr8,20914490,20924071,ENSMUSG00000071165.3,-,Gm6040,protein_coding,0.0,2.5304973570410603,1.715763550794529
chrX,55433095,55433596,5.657131396107075,chrX,55429819,55448793,ENSMUSG00000096127.2,+,Gm14625,unprocessed_pseudogene,0.0,5.42382837055686,5.857337016069485
chr13,61245918,61246419,5.394096990273281,chr13,61244747,61257348,ENSMUSG00000057446.2,-,Cts8,protein_coding,0.0,0.5966214375819513,3.135860275603578
chr9,3001885,3002386,1.6604441301479107,chr9,2998922,3004330,ENSMUSG00000091028.1,+,Gm10722,protein_coding,2.11510678283575,9.85590472763758,6.8948090897588
chr9,3001885,3002386,1.6604441301479107,chr9,3001346,3008948,ENSMUSG00000096385.3,+,Gm11168,protein_coding,2.11510678283575,9.85590472763758,6.8948090897588
chr9,3001885,3002386,1.6604441301479107,chr9,2998282,3040313,ENSMUSG00000097312.1,-,Gm26870,lincRNA,2.11510678283575,9.85590472763758,6.8948090897588
chrX,50590637,50591138,3.335203301219712,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.148428546163912,1.945244354139,1.85138392225005
chr17,28952165,28952666,0.9975885690917086,chr17,28949950,28971549,ENSMUSG00000005936.14,+,Kctd20,protein_coding,9.68496263719529,15.9510037039398,19.790655720604
chr10,80148552,80149053,0.8371182511785233,chr10,80146272,80160368,ENSMUSG00000035621.9,+,Midn,protein_coding,10.7239624603427,15.9510037039398,19.5991332458884
chrX,50580138,50580639,4.394096990273281,chrX,50553744,50637321,ENSMUSG00000085396.3,-,Firre,processed_transcript,0.0,10.503520589626715,11.340611853761349
chr5,113099487,113099988,1.147833165317991,chr5,113084323,113165351,ENSMUSG00000051339.8,-,2900026A02Rik,protein_coding,18.948678161807642,13.87752521537735,31.372014546346758
chr11,78322802,78323303,1.651676966014967,chr11,78320968,78329781,ENSMUSG00000017390.11,+,Aldoc,protein_coding,1.92957110013086,3.76080575133539,6.25640084070706
chr11,78322802,78323303,1.651676966014967,chr11,78299529,78324457,ENSMUSG00000002055.5,+,Spag5,protein_coding,1.92957110013086,3.76080575133539,6.25640084070706
