chr,start,end,log2(old/young),gene_chr,gene_start,gene_end,gene_id,gene_strand,gene_name,gene_type,2mo,9mo,18mo
chr5,109556731,109557232,0.6986535797819682,chr5,109552711,109560993,ENSMUSG00000033467.8,-,Crlf2,protein_coding,23.155390574496,38.3658302418891,37.8752202722164
chr6,52012396,52012897,0.957782271577254,chr6,51857166,52014549,ENSMUSG00000059182.5,-,Skap2,protein_coding,13.3311101637132,21.6171511129845,26.0977042248652
chr8,19535124,19535625,3.295777612591216,chr8,19533319,19537408,ENSMUSG00000098476.1,-,Gm27852,miRNA,0.464139232005487,2.44133288997593,4.66156557196509
chr8,19535124,19535625,3.295777612591216,chr8,19533904,19540583,ENSMUSG00000083218.1,+,Gm16425,processed_pseudogene,0.464139232005487,2.44133288997593,4.66156557196509
chr5,109557248,109557749,0.4825964428778833,chr5,109552711,109560993,ENSMUSG00000033467.8,-,Crlf2,protein_coding,36.1255035577604,53.0706027652325,50.8711000486039
chr8,12394999,12395500,1.075801354546848,chr8,12393295,12402126,ENSMUSG00000096014.1,+,Sox1,protein_coding,7.2801098057157,14.4208966059043,15.4679221251569
chr8,12394999,12395500,1.075801354546848,chr8,12394403,12398488,ENSMUSG00000092656.1,+,Gm25239,miRNA,7.2801098057157,14.4208966059043,15.4679221251569
chr8,12394999,12395500,1.075801354546848,chr8,12383771,12438750,ENSMUSG00000047935.12,+,Gm5607,sense_overlapping,7.2801098057157,14.4208966059043,15.4679221251569
chr5,109558426,109558927,0.436274924669863,chr5,109552711,109560993,ENSMUSG00000033467.8,-,Crlf2,protein_coding,33.8735687654375,42.9504263085299,46.1918770312904
chr1,195018089,195018590,0.8973844886100983,chr1,195011746,195018448,ENSMUSG00000103867.1,+,RP23-445K23.5,TEC,7.47779873786619,13.5550750577152,14.0376690519403
chr1,195018089,195018590,0.8973844886100983,chr1,195015892,195020242,ENSMUSG00000104077.1,-,RP23-445K23.6,lincRNA,7.47779873786619,13.5550750577152,14.0376690519403
chr1,195018089,195018590,0.8973844886100983,chr1,194974375,195039904,ENSMUSG00000096929.3,+,A330023F24Rik,lincRNA,7.47779873786619,13.5550750577152,14.0376690519403
chr8,12400944,12401445,1.1215495081755542,chr8,12393295,12402126,ENSMUSG00000096014.1,+,Sox1,protein_coding,4.70155851679633,8.18982021811691,10.3119480834379
chr8,12400944,12401445,1.1215495081755542,chr8,12383771,12438750,ENSMUSG00000047935.12,+,Gm5607,sense_overlapping,4.70155851679633,8.18982021811691,10.3119480834379
chr8,115707612,115708113,0.8394418672257392,chr8,115680942,115709794,ENSMUSG00000055435.6,-,Maf,protein_coding,6.25728446111102,9.18338592915363,11.2831075775973
chr8,115707612,115708113,0.8394418672257392,chr8,115703078,115709233,ENSMUSG00000086717.1,+,Gm15655,antisense,6.25728446111102,9.18338592915363,11.2831075775973
chr2,75704342,75704843,0.7390084196724089,chr2,75673513,75706641,ENSMUSG00000015839.6,-,Nfe2l2,protein_coding,10.0993258816009,15.9112451724594,16.9864624251152
chr2,75704342,75704843,0.7390084196724089,chr2,75702770,75712024,ENSMUSG00000087222.1,+,E030042O20Rik,processed_transcript,10.0993258816009,15.9112451724594,16.9864624251152
chr8,12395596,12396097,0.9048921453055876,chr8,12393295,12402126,ENSMUSG00000096014.1,+,Sox1,protein_coding,5.38057702287843,8.92789760345847,10.1530310753028
chr8,12395596,12396097,0.9048921453055876,chr8,12394403,12398488,ENSMUSG00000092656.1,+,Gm25239,miRNA,5.38057702287843,8.92789760345847,10.1530310753028
chr8,12395596,12396097,0.9048921453055876,chr8,12383771,12438750,ENSMUSG00000047935.12,+,Gm5607,sense_overlapping,5.38057702287843,8.92789760345847,10.1530310753028
chr6,34505869,34506370,1.331069524842417,chr6,34474207,34507613,ENSMUSG00000038871.5,+,Bpgm,protein_coding,2.19176859558147,3.37812341752483,5.56209528473107
chr7,139582611,139583112,0.9686345589445038,chr7,139577376,139584797,ENSMUSG00000041309.13,-,Nkx6-2,protein_coding,6.46356856422457,11.0995483718673,12.7486755415106
chr19,40326426,40326927,1.1547327939464993,chr19,40293049,40404267,ENSMUSG00000025006.11,-,Sorbs1,protein_coding,2.69028851143921,4.93944096343966,6.03884630913659
chr18,37400579,37401080,1.7160870883710104,chr18,37398855,37405909,ENSMUSG00000051242.1,+,Pcdhb9,protein_coding,1.14315773808759,2.79617778677475,3.79635074989581
chr18,37400579,37401080,1.7160870883710104,chr18,36950741,37842200,ENSMUSG00000103458.1,+,PCDHA4,protein_coding,1.14315773808759,2.79617778677475,3.79635074989581
chr18,37400579,37401080,1.7160870883710104,chr18,36967916,37835296,ENSMUSG00000102836.1,+,RP23-407E2.5,protein_coding,1.14315773808759,2.79617778677475,3.79635074989581
chr18,37400579,37401080,1.7160870883710104,chr18,36973941,37835296,ENSMUSG00000103125.1,+,RP23-407E2.6,protein_coding,1.14315773808759,2.79617778677475,3.79635074989581
chr18,37294541,37295042,1.484146451638785,chr18,37292812,37299624,ENSMUSG00000051599.4,+,Pcdhb2,protein_coding,1.30646598638582,2.85295297026256,3.6904060778057
chr18,37294541,37295042,1.484146451638785,chr18,36950741,37842200,ENSMUSG00000103458.1,+,PCDHA4,protein_coding,1.30646598638582,2.85295297026256,3.6904060778057
chr18,37294541,37295042,1.484146451638785,chr18,36967916,37835296,ENSMUSG00000102836.1,+,RP23-407E2.5,protein_coding,1.30646598638582,2.85295297026256,3.6904060778057
chr18,37294541,37295042,1.484146451638785,chr18,36973941,37835296,ENSMUSG00000103125.1,+,RP23-407E2.6,protein_coding,1.30646598638582,2.85295297026256,3.6904060778057
chr8,19792710,19793211,0.9419950256901788,chr8,19787798,19800548,ENSMUSG00000097230.1,+,Gm26853,lincRNA,4.63279714909181,6.86979720202528,8.96998223696313
chr5,109559128,109559629,1.4309215126719086,chr5,109552711,109560993,ENSMUSG00000033467.8,-,Crlf2,protein_coding,2.17457825365534,4.55620847489693,5.91524419169813
chr13,100552260,100552761,1.5686620088387877,chr13,100494507,100554718,ENSMUSG00000021638.8,-,Ocln,protein_coding,0.954063976900169,2.89553435787842,2.86050614643312
chr11,44616979,44617480,0.2670777315308663,chr11,44615317,44619773,ENSMUSG00000103671.1,+,AL603913.1,pseudogene,23.4734119001294,25.6198015488753,28.4638019015444
chr11,44616979,44617480,0.2670777315308663,chr11,44608837,44619016,ENSMUSG00000102563.1,-,RP23-103H9.5,TEC,23.4734119001294,25.6198015488753,28.4638019015444
chr11,44616979,44617480,0.2670777315308663,chr11,44615317,45010091,ENSMUSG00000057098.10,+,Ebf1,protein_coding,23.4734119001294,25.6198015488753,28.4638019015444
chr13,65176116,65176617,1.6560329694143836,chr13,65175111,65207716,ENSMUSG00000032999.9,-,Nlrp4f,protein_coding,1.01423017364162,2.18584456428077,3.23131249874853
chr17,43842094,43842595,1.5439665378199958,chr17,43799851,44041516,ENSMUSG00000039601.11,+,Rcan2,protein_coding,1.16894325097678,2.2993949312564,3.44320184292876
chr8,12983982,12984483,1.5711125825929837,chr8,12871806,13022905,ENSMUSG00000031442.16,+,Mcf2l,protein_coding,1.41820320890566,3.37812341752483,4.25544432895298
chr7,120940320,120940821,1.118436664723509,chr7,120915744,120949432,ENSMUSG00000030880.9,+,Polr3e,protein_coding,3.54980560774567,6.33043295889106,7.76927595327515
chr14,48162398,48162899,1.3281552560248469,chr14,48118869,48262883,ENSMUSG00000021846.8,+,Peli2,protein_coding,1.7706052183913,2.88134056200647,4.48499111848156
chr13,100551735,100552236,1.2654485138600788,chr13,100494507,100554718,ENSMUSG00000021638.8,-,Ocln,protein_coding,1.33225149927501,2.79617778677475,3.23131249874853
chr14,117923537,117924038,0.8342204348088104,chr14,116923297,117981529,ENSMUSG00000058571.6,+,Gpc6,protein_coding,4.17725308804939,5.89042528686052,7.50441427304986
chr17,34743738,34744239,1.00886330219513,chr17,34742753,34749154,ENSMUSG00000092202.1,-,Stk19-ps1,unprocessed_pseudogene,3.37790218848438,6.38720814237888,6.85108879516082
chr17,34743738,34744239,1.00886330219513,chr17,34726380,34745882,ENSMUSG00000073418.4,-,C4b,protein_coding,3.37790218848438,6.38720814237888,6.85108879516082
